                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.75296,                0.51334,                 1.1004,                0.94057,                0.91669,                 0.9563,                0.78122,                0.77507,                0.49677,                 1.1037,               0.006535,               0.006535,               0.006535
                     37,                0.74649,                0.52098,                    1.1,                0.93863,                0.91472,                0.96316,                 0.7782,                0.77864,                0.49801,                 1.1043,               0.006436,               0.006436,               0.006436
                     38,                0.74419,                0.51774,                  1.092,                0.95066,                0.91462,                0.95804,                0.77719,                0.77007,                0.50089,                 1.1084,               0.006337,               0.006337,               0.006337
                     39,                0.73721,                0.50777,                 1.0916,                0.95128,                0.91109,                0.96281,                0.78092,                0.77042,                0.50628,                 1.1056,               0.006238,               0.006238,               0.006238
                     40,                0.73038,                0.50187,                 1.0924,                0.95908,                0.88898,                0.95524,                0.78542,                0.74799,                0.51476,                 1.0922,               0.006139,               0.006139,               0.006139
                     41,                0.73895,                0.51612,                 1.0955,                0.94751,                0.91489,                0.95923,                0.78136,                0.77089,                0.49715,                 1.1093,                0.00604,                0.00604,                0.00604
                     42,                0.73865,                0.52089,                 1.1014,                0.94402,                0.91392,                 0.9605,                0.78946,                0.74978,                0.49884,                 1.0894,               0.005941,               0.005941,               0.005941
                     43,                0.73028,                 0.5104,                 1.0872,                  0.958,                0.91714,                0.96796,                0.79498,                0.73784,                0.47184,                 1.0884,               0.005842,               0.005842,               0.005842
                     44,                0.72975,                0.51041,                 1.0945,                0.95901,                0.90105,                0.95741,                0.78735,                0.74944,                0.51282,                 1.0817,               0.005743,               0.005743,               0.005743
                     45,                0.72925,                0.50828,                 1.0869,                0.94374,                0.93115,                0.96532,                0.78863,                0.74585,                0.48363,                 1.0787,               0.005644,               0.005644,               0.005644
                     46,                0.71754,                0.50289,                  1.087,                0.94888,                0.91633,                0.96608,                0.78106,                0.78019,                0.48875,                 1.1244,               0.005545,               0.005545,               0.005545
                     47,                0.71561,                0.49108,                 1.0788,                0.94499,                0.91217,                0.96053,                0.78532,                0.74978,                0.48383,                 1.0891,               0.005446,               0.005446,               0.005446
                     48,                 0.7274,                0.50473,                  1.078,                0.95447,                0.91311,                0.96214,                0.79071,                0.73081,                0.46839,                  1.072,               0.005347,               0.005347,               0.005347
                     49,                0.70633,                0.48973,                 1.0707,                0.95481,                0.90265,                0.96113,                0.79372,                0.75486,                0.48923,                 1.0886,               0.005248,               0.005248,               0.005248
                     50,                0.71167,                 0.4926,                  1.081,                 0.9447,                0.92078,                 0.9611,                0.80478,                0.71187,                0.46393,                 1.0676,               0.005149,               0.005149,               0.005149
